origin_city_name,dest_city_name,FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CRS_DEP_HM,CRS_ARR_HM,day_of_week
"TUCSON, ARIZONA, USA               ","ATLANTA, GEORGIA, USA              ",2017-01-01,DL,2066,TUS,ATL,1430,1459.0,29.0,10.0,1509.0,2011.0,17.0,2003,2028.0,25.0,0.0,,0.0,213.0,209.0,182.0,1541.0,11.0,0.0,0.0,0.0,14.0,14:30:00,20:03:00,Sunday
"TUCSON, ARIZONA, USA               ","ATLANTA, GEORGIA, USA              ",2017-01-02,DL,1127,TUS,ATL,600,637.0,37.0,10.0,647.0,1157.0,6.0,1129,1203.0,34.0,0.0,,0.0,209.0,206.0,190.0,1541.0,34.0,0.0,0.0,0.0,0.0,06:00:00,11:29:00,Monday
"TUCSON, ARIZONA, USA               ","ATLANTA, GEORGIA, USA              ",2017-01-02,DL,2066,TUS,ATL,1430,1447.0,17.0,10.0,1457.0,1943.0,9.0,2005,1952.0,-13.0,0.0,,0.0,215.0,185.0,166.0,1541.0,,,,,,14:30:00,20:05:00,Monday
"TUCSON, ARIZONA, USA               ","ATLANTA, GEORGIA, USA              ",2017-01-03,DL,1127,TUS,ATL,600,559.0,-1.0,29.0,628.0,1116.0,5.0,1129,1121.0,-8.0,0.0,,0.0,209.0,202.0,168.0,1541.0,,,,,,06:00:00,11:29:00,Tuesday
"TUCSON, ARIZONA, USA               ","ATLANTA, GEORGIA, USA              ",2017-01-03,DL,2066,TUS,ATL,1430,1441.0,11.0,11.0,1452.0,1939.0,9.0,2005,1948.0,-17.0,0.0,,0.0,215.0,187.0,167.0,1541.0,,,,,,14:30:00,20:05:00,Tuesday
"TUCSON, ARIZONA, USA               ","ATLANTA, GEORGIA, USA              ",2017-01-04,DL,1127,TUS,ATL,600,558.0,-2.0,9.0,607.0,1047.0,11.0,1129,1058.0,-31.0,0.0,,0.0,209.0,180.0,160.0,1541.0,,,,,,06:00:00,11:29:00,Wednesday
"TUCSON, ARIZONA, USA               ","ATLANTA, GEORGIA, USA              ",2017-01-04,DL,2066,TUS,ATL,1430,1452.0,22.0,18.0,1510.0,1957.0,12.0,2005,2009.0,4.0,0.0,,0.0,215.0,197.0,167.0,1541.0,,,,,,14:30:00,20:05:00,Wednesday
"TUCSON, ARIZONA, USA               ","ATLANTA, GEORGIA, USA              ",2017-01-05,DL,1127,TUS,ATL,600,558.0,-2.0,12.0,610.0,1052.0,5.0,1129,1057.0,-32.0,0.0,,0.0,209.0,179.0,162.0,1541.0,,,,,,06:00:00,11:29:00,Thursday
"TUCSON, ARIZONA, USA               ","ATLANTA, GEORGIA, USA              ",2017-01-05,DL,2066,TUS,ATL,1430,1439.0,9.0,15.0,1454.0,1939.0,8.0,2005,1947.0,-18.0,0.0,,0.0,215.0,188.0,165.0,1541.0,,,,,,14:30:00,20:05:00,Thursday
"TUCSON, ARIZONA, USA               ","ATLANTA, GEORGIA, USA              ",2017-01-06,DL,1127,TUS,ATL,600,559.0,-1.0,14.0,613.0,1058.0,6.0,1129,1104.0,-25.0,0.0,,0.0,209.0,185.0,165.0,1541.0,,,,,,06:00:00,11:29:00,Friday
"TUCSON, ARIZONA, USA               ","ATLANTA, GEORGIA, USA              ",2017-01-06,DL,2066,TUS,ATL,1430,1430.0,0.0,18.0,1448.0,1932.0,6.0,2005,1938.0,-27.0,0.0,,0.0,215.0,188.0,164.0,1541.0,,,,,,14:30:00,20:05:00,Friday
